Coffee_Shop_Name,Review Title,Rating,Cat_Rate,Bool_HIGH,Tea_Rate,Service_Rate,Seating_Rate,Parking_Rate
Manana Coffee & Juice ,Ottima qualità prezzo,5,HIGH,1,0,0,0,0
Brian's Brew ,"By far, my best hotel in the world",4,HIGH,1,0,0,0,0
Flitch Coffee ,First visit to the American Bar at the Savoy,4,HIGH,1,0,0,3,0
Third Coast Coffee Roasting Company ,Nice stay,2,LOW,0,0,0,-1,-1
Kowabunga Coffee ,Perfection,4,HIGH,1,0,0,0,0
Legend Coffee ,Staff stole from me!!,4,HIGH,1,0,0,0,-2
Fleet Coffee ,Great customer service and comfy bed,4,HIGH,1,0,0,2,0
Holy Grounds ,"Yes, it's really good!",5,HIGH,1,0,1,-1,0
Anderson's Coffee Company ,Incredible,3,LOW,0,0,0,0,1
Apanas Coffee & Beer ,Ottima scelta!,5,HIGH,1,0,0,0,0
Flat Track Coffee ,Best in Town,4,HIGH,1,0,0,0,0
Friends & Neighbors ,"Good hotel, but needs touch-up and improved layout of entrance floor",3,LOW,0,0,0,0,0
Lola Savannah Coffee,what a disappointment,3,LOW,0,0,-1,0,-1
Corona Coffee ,Great hotel needs to up its game to compete today,5,HIGH,1,0,0,0,0
Figure 8 Coffee Purveyors ,a true five star hotel,5,HIGH,1,0,0,0,0
Sister Coffee ,Surprisingly quiet in Central London,5,HIGH,1,0,2,0,0
Lucky Lab Coffee ,Amazing proposal venue!,5,HIGH,1,0,2,0,2
Cafe Ruckus ,Beautiful,4,HIGH,1,0,1,0,-2
Cafe Creme ,Beautiful hotel in a great location,4,HIGH,1,0,1,1,-1
Fat Cats Organic Coffee And Dessert ,Very stylish accommodation,4,HIGH,1,0,0,0,0
The Factory - Cafe With a Soul ,The brand is bigger than the experience,5,HIGH,1,0,0,0,0
Mary's Cafe ,Nice rooms but not quite wow,5,HIGH,1,0,0,0,0
Patika ,Great Hosts,4,HIGH,1,2,0,0,0
Sa-Ten ,Excellent rapport qualité prix,5,HIGH,1,0,0,0,0
Seventh Flag Coffee Co ,"Fantastic nights stay, one of the best hotels I've ever been to!",5,HIGH,1,1,1,0,0
Cafe Java ,Corinthia Hotel London - WOW,1,LOW,0,0,0,0,-2
Emerald Tavern Games & Cafe ,Excellent service,5,HIGH,1,0,0,0,0
Elixer Coffee ,Excellent,5,HIGH,1,0,2,0,0
Summermoon Coffee Bar ,It's All True!,5,HIGH,1,0,0,0,0
Arturo's Underground Cafe ,Exceeded All My Expectations,5,HIGH,1,0,2,0,0
Irie Bean Coffee Bar ,"Great location, fine hotel, odd service",4,HIGH,1,0,0,0,0
Juan Pelota ,exceptional service. great location. brilliant food.,5,HIGH,1,0,0,0,0
Hot Mama's Cafe ,Outstanding,5,HIGH,1,0,0,0,0
